Attraction,Latitude,Longitude
Billy Graham Library,35.1903,-80.9042
NASCAR Hall of Fame,35.221,-80.8431
Discovery Place Science,35.2298,-80.841
Freedom Park,35.194,-80.8441
Carowinds,35.1045,-80.9395
Levine Museum of the New South,35.2283,-80.8385
BB&T Ballpark,35.228,-80.848
Mint Museum Uptown,35.2271,-80.8459
The Bank of America Stadium,35.2258,-80.8528
Charlotte Motor Speedway,35.35,-80.6828
Bechtler Museum of Modern Art,35.2252,-80.8454
Daniel Stowe Botanical Garden,35.1674,-81.0579
Wing Haven Garden and Bird Sanctuary,35.1791,-80.8365
ImaginOn: The Joe & Joan Martin Center,35.2273,-80.8382
The Fillmore,35.239,-80.845
NoDa Brewing Company,35.2406,-80.8125
Romare Bearden Park,35.2286,-80.8475
SouthPark,35.149,-80.825
The Billy Graham Evangelistic Association,35.1903,-80.9042
Hendrick Motorsports Complex,35.3517,-80.6936
The Light Factory,35.2273,-80.8382
McDowell Nature Center and Preserve,35.102,-81.031
President James K. Polk State Historic Site,35.088,-80.879
Historic Rosedale Plantation,35.248,-80.812
Charlotte Museum of History,35.244,-80.773
The Harvey B. Gantt Center for African-American Arts + Culture,35.225,-80.845
Little Sugar Creek Greenway,35.215,-80.833
Blumenthal Performing Arts Center,35.227,-80.841
The Duke Mansion,35.197,-80.827
The Olde Mecklenburg Brewery,35.19,-80.873
