Attraction,Latitude,Longitude
Cummer Museum of Art & Gardens,30.317,-81.6763
Jacksonville Zoo & Gardens,30.3965,-81.6394
Catty Shack Ranch Wildlife Sanctuary,30.5013,-81.5656
Little Talbot Island State Park,30.479,-81.4181
The Florida Theatre,30.3264,-81.6562
Big Talbot Island State Park,30.4975,-81.4527
Museum of Science & History (MOSH),30.3195,-81.6595
Riverside/Avondale Historic District,30.3086,-81.6851
Fort Caroline National Memorial,30.3894,-81.5003
Timucuan Ecological & Historic Preserve,30.438,-81.4396
Kingsley Plantation,30.4336,-81.4382
Jacksonville Beach,30.2841,-81.3961
Friendship Fountain,30.3181,-81.6586
St. Johns Town Center,30.2635,-81.5256
TPC at Sawgrass,30.201,-81.3948
EverBank Stadium (TIAA Bank Field),30.3239,-81.637
Atlantic Beach,30.3344,-81.3989
Huguenot Memorial Park,30.4176,-81.4188
Kathryn Abbey Hanna Park,30.3896,-81.4004
Southbank Riverwalk,30.3167,-81.6584
Memorial Park,30.3122,-81.6769
Jacksonville Arboretum & Gardens,30.3712,-81.5505
Brewery District (Intuition Ale Works),30.3269,-81.6465
Springfield Historic District,30.34,-81.647
Mandarin Museum & Historical Society,30.152,-81.6351
Castaway Island Preserve,30.2886,-81.4679
Boneyard Beach,30.497,-81.452
Downtown Jacksonville,30.3322,-81.6557
Amelia Island State Park,30.5402,-81.4372
The Avenues Mall,30.1917,-81.5246
