Attraction,Latitude,Longitude
Desert Botanical Garden,33.4606,-111.9453
Musical Instrument Museum,33.6674,-111.9782
Camelback Mountain,33.5146,-111.9626
Papago Park,33.46,-111.9481
Heard Museum,33.4719,-112.0738
South Mountain Park,33.3367,-112.0622
Phoenix Art Museum,33.4669,-112.0737
Dobbins Lookout,33.3346,-112.0782
Chase Field,33.4455,-112.0667
Arizona Science Center,33.4486,-112.067
Heritage Square,33.4502,-112.0681
Piestewa Peak,33.5473,-112.0245
Hole in the Rock,33.4563,-111.9482
Japanese Friendship Garden,33.4597,-112.078
Arizona Capitol Museum,33.4481,-112.0976
Phoenix Zoo,33.451,-111.9483
Rosson House Museum,33.4503,-112.0678
Wrigley Mansion,33.5233,-112.0271
Phoenix Mountains Preserve,33.5594,-112.0139
The Nash Jazz Club,33.4571,-112.0742
Pueblo Grande Museum,33.4452,-111.9795
Papago Golf Course,33.4578,-111.9621
Arizona Falls,33.5094,-111.9555
Children’s Museum of Phoenix,33.4511,-112.0659
Castles N' Coasters,33.5768,-112.133
St. Mary's Basilica,33.4507,-112.0722
Orpheum Theatre,33.4481,-112.0775
Encanto Park,33.4741,-112.0882
North Mountain Park,33.6014,-112.0724
Phoenix Convention Center,33.449,-112.0712
